,Ticker,Shares
1,AAPL,131.86295865575872
2,AIG,432.3899597179083
3,AMZN,206.3777492259607
4,AXP,103.57703412933347
5,BAC,677.8491817462435
6,BIIB,229.66124495977775
7,BK,384.73465718860774
8,BLK,44.83929194738502
9,C,440.14256853334024
10,CAT,134.1159891819324
11,CL,160.99689478156017
12,KO,455.7630845022327
13,LLY,40.46847153077941
14,PYPL,178.89583260848383
15,QCOM,213.1702644001547
16,RY.TO,607.114859722707
17,SHOP.TO,323.22879357036777
18,TD.TO,542.8172728552956
19,TXN,153.1182418787689
20,UNP,126.96868152092996
21,USB,590.5375064014947
